sku_id,week,current_inventory,pipeline_procurement,pipeline_manufacturing,avg_demand_lookback,demand_trend,demand_volatility,procurement_lead_time,manufacturing_lead_time,unit_cost,seasonality_sin,seasonality_cos,target_quantity,supply_method,actual_demand,stockout
SKU_000,0,640.5428728715362,0.0,0.0,190.63571821788406,0.0,0.0,2.295714161540503,1.1478570807702515,40.581311290499436,0.0,1.0,0.0,0,122.0,0.0
SKU_000,1,467.54287287153625,0.0,135.45712712846375,122.0,0.0,0.0,2.295714161540503,1.1478570807702515,40.581311290499436,0.12053668025532305,0.992708874098054,135.45712712846375,1,173.0,0.0
SKU_000,2,467.0,0.0,67.5,147.5,50.99999999999997,25.5,2.295714161540503,1.1478570807702515,40.581311290499436,0.23931566428755774,0.970941817426052,67.5,1,136.0,0.0
SKU_000,3,408.5,0.0,155.5,143.66666666666666,7.000000000000012,21.51485275080657,2.295714161540503,1.1478570807702515,40.581311290499436,0.3546048870425356,0.9350162426854148,155.5,1,126.0,0.0
SKU_000,4,411.0,0.0,166.5,139.25,-2.4999999999999925,20.141685629559408,2.295714161540503,1.1478570807702515,40.581311290499436,0.4647231720437685,0.8854560256532099,166.5,1,153.0,0.0
SKU_000,5,447.5,0.0,119.5,142.0,1.4999999999999776,18.83613548475377,2.295714161540503,1.1478570807702515,40.581311290499436,0.5680647467311558,0.8229838658936564,119.5,1,130.0,0.0
SKU_000,6,406.0,0.0,184.5,140.0,-0.8571428571428512,17.76701062831524,2.295714161540503,1.1478570807702515,40.581311290499436,0.6631226582407952,0.7485107481711011,184.5,1,161.0,0.0
SKU_000,7,445.5,0.0,91.0,143.0,1.7142857142857135,18.015866023353652,2.295714161540503,1.1478570807702515,40.581311290499436,0.7485107481711011,0.6631226582407953,91.0,1,145.0,0.0
SKU_000,8,420.5,0.0,124.5,143.25,1.3095238095237969,16.86527497552293,2.295714161540503,1.1478570807702515,40.581311290499436,0.8229838658936564,0.5680647467311559,124.5,1,116.0,0.0
SKU_000,9,398.0,0.0,196.0,142.5,-3.238095238095241,17.89553016817328,2.295714161540503,1.1478570807702515,40.581311290499436,0.8854560256532099,0.4647231720437686,196.0,1,147.0,0.0
